Date,Time,Bio_Rep,Chlorophyll-A (RFU),Treatment,Round
6-23-24,17,1,1834.48,Replete,1
6-23-24,17,2,809.64,Replete,1
6-23-24,17,3,293.69,Replete,1
6-25-24,18,1,2335.87,Replete,1
6-25-24,18,2,1000.43,Replete,1
6-25-24,18,3,317.56,Replete,1
6-27-24,19,1,2613.48,Replete,1
6-27-24,19,2,1783.72,Replete,1
6-27-24,19,3,624.26,Replete,1
5-20-24,0,1,144.28,-Biotin,1
5-20-24,0,2,78.72,-Biotin,1
5-20-24,0,3,105.3,-Biotin,1
5-22-24,1,1,60.34,-Biotin,1
5-22-24,1,2,57.82,-Biotin,1
5-22-24,1,3,73.24,-Biotin,1
5-24-24,2,1,77.88,-Biotin,1
5-24-24,2,2,95.46,-Biotin,1
5-24-24,2,3,72.75,-Biotin,1
5-26-24,3,1,85.49,-Biotin,1
5-26-24,3,2,64.36,-Biotin,1
5-26-24,3,3,74.5,-Biotin,1
5-28-24,4,1,79.2,-Biotin,1
5-28-24,4,2,72.33,-Biotin,1
5-28-24,4,3,94.93,-Biotin,1
5-30-24,5,1,71.64,-Biotin,1
5-30-24,5,2,55.28,-Biotin,1
5-30-24,5,3,62.2,-Biotin,1
6-1-24,6,1,71.44,-Biotin,1
6-1-24,6,2,61.89,-Biotin,1
6-1-24,6,3,69.07,-Biotin,1
6-3-24,7,1,92.57,-Biotin,1
6-3-24,7,2,107.58,-Biotin,1
6-3-24,7,3,71.37,-Biotin,1
6-5-24,8,1,75.14,-Biotin,1
6-5-24,8,2,185.34,-Biotin,1
6-5-24,8,3,181.98,-Biotin,1
6-7-24,9,1,153.48,-Biotin,1
6-7-24,9,2,77.1,-Biotin,1
6-7-24,9,3,87.8,-Biotin,1
6-9-24,10,1,95.63,-Biotin,1
6-9-24,10,2,121.97,-Biotin,1
6-9-24,10,3,77.06,-Biotin,1
6-11-24,11,1,71.33,-Biotin,1
6-11-24,11,2,253.36,-Biotin,1
6-11-24,11,3,93.79,-Biotin,1
6-13-24,12,1,269.46,-Biotin,1
6-13-24,12,2,416.47,-Biotin,1
6-13-24,12,3,81.54,-Biotin,1
6-15-24,13,1,229.52,-Biotin,1
6-15-24,13,2,729.98,-Biotin,1
6-15-24,13,3,69.46,-Biotin,1
6-17-24,14,1,381.29,-Biotin,1
6-17-24,14,2,1135.51,-Biotin,1
6-17-24,14,3,155.54,-Biotin,1
6-19-24,15,1,771.54,-Biotin,1
6-19-24,15,2,1448.25,-Biotin,1
6-19-24,15,3,126.3,-Biotin,1
6-21-24,16,1,1215.54,-Biotin,1
6-21-24,16,2,2495.3,-Biotin,1
6-21-24,16,3,207.36,-Biotin,1
6-23-24,17,1,1409.99,-Biotin,1
6-23-24,17,2,2790.54,-Biotin,1
6-23-24,17,3,199.66,-Biotin,1
6-25-24,18,1,2785.75,-Biotin,1
6-25-24,18,2,5134.63,-Biotin,1
6-25-24,18,3,443.26,-Biotin,1
6-27-24,19,1,3924.64,-Biotin,1
6-27-24,19,2,4774.63,-Biotin,1
6-27-24,19,3,515.16,-Biotin,1
5-20-24,0,1,77.62,-Cobalamin,1
5-20-24,0,2,78.25,-Cobalamin,1
5-20-24,0,3,72.06,-Cobalamin,1
5-22-24,1,1,76.73,-Cobalamin,1
5-22-24,1,2,72.11,-Cobalamin,1
5-22-24,1,3,80.23,-Cobalamin,1
5-24-24,2,1,65.29,-Cobalamin,1
5-24-24,2,2,73.7,-Cobalamin,1
5-24-24,2,3,74.24,-Cobalamin,1
5-26-24,3,1,85.22,-Cobalamin,1
5-26-24,3,2,60.82,-Cobalamin,1
5-26-24,3,3,68.88,-Cobalamin,1
5-28-24,4,1,64.6,-Cobalamin,1
5-28-24,4,2,98.77,-Cobalamin,1
5-28-24,4,3,69.85,-Cobalamin,1
5-30-24,5,1,73.54,-Cobalamin,1
5-30-24,5,2,65.81,-Cobalamin,1
5-30-24,5,3,80.28,-Cobalamin,1
6-1-24,6,1,51.7,-Cobalamin,1
6-1-24,6,2,91.56,-Cobalamin,1
6-1-24,6,3,85.83,-Cobalamin,1
6-3-24,7,1,92.57,-Cobalamin,1
6-3-24,7,2,147.44,-Cobalamin,1
6-3-24,7,3,72.69,-Cobalamin,1
6-5-24,8,1,102.56,-Cobalamin,1
6-5-24,8,2,64.45,-Cobalamin,1
6-5-24,8,3,78.73,-Cobalamin,1
6-7-24,9,1,77.07,-Cobalamin,1
6-7-24,9,2,87.49,-Cobalamin,1
6-7-24,9,3,67.44,-Cobalamin,1
6-9-24,10,1,69.97,-Cobalamin,1
6-9-24,10,2,69.15,-Cobalamin,1
6-9-24,10,3,84.89,-Cobalamin,1
6-11-24,11,1,68.85,-Cobalamin,1
6-11-24,11,2,93.21,-Cobalamin,1
6-11-24,11,3,60.86,-Cobalamin,1
6-13-24,12,1,68.01,-Cobalamin,1
6-13-24,12,2,77.47,-Cobalamin,1
6-13-24,12,3,91.68,-Cobalamin,1
6-15-24,13,1,72.8,-Cobalamin,1
6-15-24,13,2,91.6,-Cobalamin,1
6-15-24,13,3,100.63,-Cobalamin,1
6-17-24,14,1,73.96,-Cobalamin,1
6-17-24,14,2,80.66,-Cobalamin,1
6-17-24,14,3,65.9,-Cobalamin,1
6-19-24,15,1,87.85,-Cobalamin,1
6-19-24,15,2,60.24,-Cobalamin,1
6-19-24,15,3,65.34,-Cobalamin,1
6-21-24,16,1,80.55,-Cobalamin,1
6-21-24,16,2,81.82,-Cobalamin,1
6-21-24,16,3,70.33,-Cobalamin,1
6-23-24,17,1,76.08,-Cobalamin,1
6-23-24,17,2,83.62,-Cobalamin,1
6-23-24,17,3,85.75,-Cobalamin,1
6-25-24,18,1,62.39,-Cobalamin,1
6-25-24,18,2,65.64,-Cobalamin,1
6-25-24,18,3,65.55,-Cobalamin,1
6-27-24,19,1,65.2,-Cobalamin,1
6-27-24,19,2,75.83,-Cobalamin,1
6-27-24,19,3,68.68,-Cobalamin,1
5-20-24,0,1,77.84,-Thiamine,1
5-20-24,0,2,82.51,-Thiamine,1
5-20-24,0,3,72.94,-Thiamine,1
5-22-24,1,1,71.15,-Thiamine,1
5-22-24,1,2,96.67,-Thiamine,1
5-22-24,1,3,70.34,-Thiamine,1
5-24-24,2,1,68.85,-Thiamine,1
5-24-24,2,2,76.31,-Thiamine,1
5-24-24,2,3,77.75,-Thiamine,1
5-26-24,3,1,65.33,-Thiamine,1
5-26-24,3,2,68.06,-Thiamine,1
5-26-24,3,3,76.77,-Thiamine,1
5-28-24,4,1,64.96,-Thiamine,1
5-28-24,4,2,126.9,-Thiamine,1
5-28-24,4,3,105.01,-Thiamine,1
5-30-24,5,1,67.56,-Thiamine,1
5-30-24,5,2,74.44,-Thiamine,1
5-30-24,5,3,74.52,-Thiamine,1
6-1-24,6,1,62.91,-Thiamine,1
6-1-24,6,2,99.73,-Thiamine,1
6-1-24,6,3,162.86,-Thiamine,1
6-3-24,7,1,82.41,-Thiamine,1
6-3-24,7,2,102.69,-Thiamine,1
6-3-24,7,3,75.72,-Thiamine,1
6-5-24,8,1,182.32,-Thiamine,1
6-5-24,8,2,218.29,-Thiamine,1
6-5-24,8,3,157.57,-Thiamine,1
6-7-24,9,1,88.76,-Thiamine,1
6-7-24,9,2,182.98,-Thiamine,1
6-7-24,9,3,136,-Thiamine,1
6-9-24,10,1,205.08,-Thiamine,1
6-9-24,10,2,299.96,-Thiamine,1
6-9-24,10,3,220.29,-Thiamine,1
6-11-24,11,1,222.99,-Thiamine,1
6-11-24,11,2,342.49,-Thiamine,1
6-11-24,11,3,478.69,-Thiamine,1
6-13-24,12,1,464.78,-Thiamine,1
6-13-24,12,2,978.92,-Thiamine,1
6-13-24,12,3,820.32,-Thiamine,1
6-15-24,13,1,825.85,-Thiamine,1
6-15-24,13,2,1300.49,-Thiamine,1
6-15-24,13,3,1115.33,-Thiamine,1
6-17-24,14,1,2052.37,-Thiamine,1
6-17-24,14,2,2307.87,-Thiamine,1
6-17-24,14,3,1855.5,-Thiamine,1
6-19-24,15,1,2235.4,-Thiamine,1
6-19-24,15,2,2369.26,-Thiamine,1
6-19-24,15,3,2380.95,-Thiamine,1
6-21-24,16,1,2786.38,-Thiamine,1
6-21-24,16,2,3568.74,-Thiamine,1
6-21-24,16,3,3199.17,-Thiamine,1
6-23-24,17,1,2445.68,-Thiamine,1
6-23-24,17,2,3814.52,-Thiamine,1
6-23-24,17,3,3721.85,-Thiamine,1
6-25-24,18,1,3901.58,-Thiamine,1
6-25-24,18,2,4190.27,-Thiamine,1
6-25-24,18,3,6011.58,-Thiamine,1
6-27-24,19,1,3701.7,-Thiamine,1
6-27-24,19,2,3595.94,-Thiamine,1
6-27-24,19,3,4444.66,-Thiamine,1
6-15-24,0,1,73.64,Replete,2
6-15-24,0,2,81.69,Replete,2
6-15-24,0,3,71.42,Replete,2
6-17-24,1,1,75.05,Replete,2
6-17-24,1,2,72.1,Replete,2
6-17-24,1,3,70.54,Replete,2
6-19-24,2,1,60.73,Replete,2
6-19-24,2,2,88.47,Replete,2
6-19-24,2,3,72.24,Replete,2
6-21-24,3,1,95.2,Replete,2
6-21-24,3,2,62.31,Replete,2
6-21-24,3,3,55.88,Replete,2
6-23-24,4,1,69.46,Replete,2
6-23-24,4,2,122.23,Replete,2
6-23-24,4,3,115.11,Replete,2
6-25-24,5,1,107.54,Replete,2
6-25-24,5,2,153.35,Replete,2
6-25-24,5,3,111.55,Replete,2
6-27-24,6,1,136.65,Replete,2
6-27-24,6,2,139.18,Replete,2
6-27-24,6,3,151.78,Replete,2
6-29-24,7,1,129.63,Replete,2
6-29-24,7,2,116.87,Replete,2
6-29-24,7,3,240.45,Replete,2
7-1-24,8,1,355.18,Replete,2
7-1-24,8,2,147.78,Replete,2
7-1-24,8,3,144.87,Replete,2
7-3-24,9,1,269.99,Replete,2
7-3-24,9,2,108.69,Replete,2
7-3-24,9,3,294.36,Replete,2
7-5-24,10,1,438.68,Replete,2
7-5-24,10,2,296.05,Replete,2
7-5-24,10,3,636.38,Replete,2
7-7-24,11,1,563.76,Replete,2
7-7-24,11,2,741.53,Replete,2
7-7-24,11,3,775.76,Replete,2
7-9-24,12,1,963.01,Replete,2
7-9-24,12,2,721.71,Replete,2
7-9-24,12,3,826.65,Replete,2
7-11-24,13,1,1163.15,Replete,2
7-11-24,13,2,748.42,Replete,2
7-11-24,13,3,1115.66,Replete,2
7-13-24,14,1,2106.48,Replete,2
7-13-24,14,2,1294.38,Replete,2
7-13-24,14,3,1089.19,Replete,2
7-15-24,15,1,1616.63,Replete,2
7-15-24,15,2,1121.13,Replete,2
7-15-24,15,3,886.92,Replete,2
6-15-24,0,1,68.53,-Biotin,2
6-15-24,0,2,69.95,-Biotin,2
6-15-24,0,3,163.92,-Biotin,2
6-17-24,1,1,74.72,-Biotin,2
6-17-24,1,2,92.2,-Biotin,2
6-17-24,1,3,79.3,-Biotin,2
6-19-24,2,1,81.98,-Biotin,2
6-19-24,2,2,75.01,-Biotin,2
6-19-24,2,3,105.24,-Biotin,2
6-21-24,3,1,119.89,-Biotin,2
6-21-24,3,2,119.26,-Biotin,2
6-21-24,3,3,85.38,-Biotin,2
6-23-24,4,1,103.65,-Biotin,2
6-23-24,4,2,61.07,-Biotin,2
6-23-24,4,3,81.96,-Biotin,2
6-25-24,5,1,174.14,-Biotin,2
6-25-24,5,2,160.82,-Biotin,2
6-25-24,5,3,86.79,-Biotin,2
6-27-24,6,1,253.52,-Biotin,2
6-27-24,6,2,179.02,-Biotin,2
6-27-24,6,3,124.2,-Biotin,2
6-29-24,7,1,458.13,-Biotin,2
6-29-24,7,2,298.89,-Biotin,2
6-29-24,7,3,301.42,-Biotin,2
7-1-24,8,1,408.3,-Biotin,2
7-1-24,8,2,252.85,-Biotin,2
7-1-24,8,3,274.51,-Biotin,2
7-3-24,9,1,653.1,-Biotin,2
7-3-24,9,2,259.69,-Biotin,2
7-3-24,9,3,271.65,-Biotin,2
7-5-24,10,1,1257.9,-Biotin,2
7-5-24,10,2,564.82,-Biotin,2
7-5-24,10,3,562.02,-Biotin,2
7-7-24,11,1,1499.52,-Biotin,2
7-7-24,11,2,739.07,-Biotin,2
7-7-24,11,3,582.22,-Biotin,2
7-9-24,12,1,1774.56,-Biotin,2
7-9-24,12,2,624.7,-Biotin,2
7-9-24,12,3,423.02,-Biotin,2
7-11-24,13,1,1844.68,-Biotin,2
7-11-24,13,2,1075.72,-Biotin,2
7-11-24,13,3,687.85,-Biotin,2
7-13-24,14,1,2832.01,-Biotin,2
7-13-24,14,2,1792.68,-Biotin,2
7-13-24,14,3,704.31,-Biotin,2
7-15-24,15,1,2448.73,-Biotin,2
7-15-24,15,2,1651.19,-Biotin,2
7-15-24,15,3,782.63,-Biotin,2
6-15-24,0,1,97.74,-Cobalamin,2
6-15-24,0,2,173.03,-Cobalamin,2
6-15-24,0,3,71.55,-Cobalamin,2
6-17-24,1,1,81.95,-Cobalamin,2
6-17-24,1,2,73.17,-Cobalamin,2
6-17-24,1,3,59.13,-Cobalamin,2
6-19-24,2,1,85.76,-Cobalamin,2
6-19-24,2,2,110.49,-Cobalamin,2
6-19-24,2,3,67.16,-Cobalamin,2
6-21-24,3,1,135.95,-Cobalamin,2
6-21-24,3,2,109.31,-Cobalamin,2
6-21-24,3,3,78.13,-Cobalamin,2
6-23-24,4,1,119.11,-Cobalamin,2
6-23-24,4,2,81.37,-Cobalamin,2
6-23-24,4,3,92.09,-Cobalamin,2
6-25-24,5,1,129.88,-Cobalamin,2
6-25-24,5,2,76.38,-Cobalamin,2
6-25-24,5,3,82.63,-Cobalamin,2
6-27-24,6,1,96.28,-Cobalamin,2
6-27-24,6,2,64.61,-Cobalamin,2
6-27-24,6,3,86.19,-Cobalamin,2
6-29-24,7,1,130.91,-Cobalamin,2
6-29-24,7,2,104.87,-Cobalamin,2
6-29-24,7,3,55.14,-Cobalamin,2
7-1-24,8,1,69.46,-Cobalamin,2
7-1-24,8,2,86.48,-Cobalamin,2
7-1-24,8,3,74.28,-Cobalamin,2
7-3-24,9,1,66.98,-Cobalamin,2
7-3-24,9,2,118,-Cobalamin,2
7-3-24,9,3,51.62,-Cobalamin,2
7-5-24,10,1,66.28,-Cobalamin,2
7-5-24,10,2,67.29,-Cobalamin,2
7-5-24,10,3,82.56,-Cobalamin,2
7-7-24,11,1,72.66,-Cobalamin,2
7-7-24,11,2,79.42,-Cobalamin,2
7-7-24,11,3,65.27,-Cobalamin,2
7-9-24,12,1,76.81,-Cobalamin,2
7-9-24,12,2,66.16,-Cobalamin,2
7-9-24,12,3,45.55,-Cobalamin,2
7-11-24,13,1,74.78,-Cobalamin,2
7-11-24,13,2,71.88,-Cobalamin,2
7-11-24,13,3,60.72,-Cobalamin,2
7-13-24,14,1,67.79,-Cobalamin,2
7-13-24,14,2,70.62,-Cobalamin,2
7-13-24,14,3,66.49,-Cobalamin,2
7-15-24,15,1,70.63,-Cobalamin,2
7-15-24,15,2,80.24,-Cobalamin,2
7-15-24,15,3,75.44,-Cobalamin,2
6-15-24,0,1,179.54,-Thiamine,2
6-15-24,0,2,90.38,-Thiamine,2
6-15-24,0,3,84.04,-Thiamine,2
6-17-24,1,1,73.37,-Thiamine,2
6-17-24,1,2,68.86,-Thiamine,2
6-17-24,1,3,79.46,-Thiamine,2
6-19-24,2,1,71.17,-Thiamine,2
6-19-24,2,2,67.76,-Thiamine,2
6-19-24,2,3,92.48,-Thiamine,2
6-21-24,3,1,126.1,-Thiamine,2
6-21-24,3,2,128.55,-Thiamine,2
6-21-24,3,3,210.52,-Thiamine,2
6-23-24,4,1,110.05,-Thiamine,2
6-23-24,4,2,166.41,-Thiamine,2
6-23-24,4,3,200.32,-Thiamine,2
6-25-24,5,1,227.43,-Thiamine,2
6-25-24,5,2,276.24,-Thiamine,2
6-25-24,5,3,281.95,-Thiamine,2
6-27-24,6,1,592.23,-Thiamine,2
6-27-24,6,2,433.13,-Thiamine,2
6-27-24,6,3,456.1,-Thiamine,2
6-29-24,7,1,640.01,-Thiamine,2
6-29-24,7,2,539.97,-Thiamine,2
6-29-24,7,3,542.87,-Thiamine,2
7-1-24,8,1,998.47,-Thiamine,2
7-1-24,8,2,1184.78,-Thiamine,2
7-1-24,8,3,1264.54,-Thiamine,2
7-3-24,9,1,1222.34,-Thiamine,2
7-3-24,9,2,990.91,-Thiamine,2
7-3-24,9,3,1910.08,-Thiamine,2
7-5-24,10,1,2022.1,-Thiamine,2
7-5-24,10,2,1237.73,-Thiamine,2
7-5-24,10,3,2507.64,-Thiamine,2
7-7-24,11,1,3136.28,-Thiamine,2
7-7-24,11,2,2041.07,-Thiamine,2
7-7-24,11,3,2941.43,-Thiamine,2
7-9-24,12,1,2329.04,-Thiamine,2
7-9-24,12,2,2059.61,-Thiamine,2
7-9-24,12,3,2460.74,-Thiamine,2
7-11-24,13,1,2905.54,-Thiamine,2
7-11-24,13,2,3006.55,-Thiamine,2
7-11-24,13,3,2852.57,-Thiamine,2
7-13-24,14,1,4265.59,-Thiamine,2
7-13-24,14,2,3799.12,-Thiamine,2
7-13-24,14,3,4230.42,-Thiamine,2
7-15-24,15,1,2754.88,-Thiamine,2
7-15-24,15,2,2727.74,-Thiamine,2
7-15-24,15,3,2621.99,-Thiamine,2
