Date,Time,Day,Rep,Chlorophyll-A (RFU),Treatment,Round
2-12-24,T14,28,1,2252.04,-Biotin,1
2-12-24,T14,28,2,3220.05,-Biotin,1
2-12-24,T14,28,3,4643.79,-Biotin,1
2-14-24,T15,30,1,1720.99,-Biotin,1
2-14-24,T15,30,2,2089.13,-Biotin,1
2-14-24,T15,30,3,4643.57,-Biotin,1
2-16-24,T16,32,1,1469.68,-Biotin,1
2-16-24,T16,32,2,1559.57,-Biotin,1
2-16-24,T16,32,3,3464.76,-Biotin,1
1-15-24,T0,0,1,70.71,-Cobalamin,1
1-15-24,T0,0,2,34.32,-Cobalamin,1
1-15-24,T0,0,3,40.48,-Cobalamin,1
1-17-24,T1,2,1,130.95,-Cobalamin,1
1-17-24,T1,2,2,60.02,-Cobalamin,1
1-17-24,T1,2,3,60.02,-Cobalamin,1
1-19-24,T2,4,1,142.81,-Cobalamin,1
1-19-24,T2,4,2,88.95,-Cobalamin,1
1-19-24,T2,4,3,218.6,-Cobalamin,1
1-21-24,T3,6,1,198.02,-Cobalamin,1
1-21-24,T3,6,2,137.48,-Cobalamin,1
1-21-24,T3,6,3,191.57,-Cobalamin,1
1-23-24,T4,8,1,346.26,-Cobalamin,1
1-23-24,T4,8,2,209.01,-Cobalamin,1
1-23-24,T4,8,3,303.7,-Cobalamin,1
1-25-24,T5,10,1,279.9,-Cobalamin,1
1-25-24,T5,10,2,208.58,-Cobalamin,1
1-25-24,T5,10,3,99.52,-Cobalamin,1
1-27-24,T6,12,1,152.96,-Cobalamin,1
1-27-24,T6,12,2,179.71,-Cobalamin,1
1-27-24,T6,12,3,201.95,-Cobalamin,1
1-29-24,T7,14,1,227.15,-Cobalamin,1
1-29-24,T7,14,2,175.96,-Cobalamin,1
1-29-24,T7,14,3,141.77,-Cobalamin,1
1-31-24,T8,16,1,194.62,-Cobalamin,1
1-31-24,T8,16,2,119.36,-Cobalamin,1
1-31-24,T8,16,3,147.04,-Cobalamin,1
2-2-24,T9,18,1,102.82,-Cobalamin,1
2-2-24,T9,18,2,74.54,-Cobalamin,1
2-2-24,T9,18,3,131.75,-Cobalamin,1
2-4-24,T10,20,1,71.88,-Cobalamin,1
2-4-24,T10,20,2,41.85,-Cobalamin,1
2-4-24,T10,20,3,68.05,-Cobalamin,1
2-6-24,T11,22,1,102.06,-Cobalamin,1
2-6-24,T11,22,2,82.86,-Cobalamin,1
2-6-24,T11,22,3,81.31,-Cobalamin,1
2-8-24,T12,24,1,57.93,-Cobalamin,1
2-8-24,T12,24,2,54.16,-Cobalamin,1
2-8-24,T12,24,3,100.07,-Cobalamin,1
2-10-24,T13,26,1,70.64,-Cobalamin,1
2-10-24,T13,26,2,52,-Cobalamin,1
2-10-24,T13,26,3,58.79,-Cobalamin,1
2-12-24,T14,28,1,51.38,-Cobalamin,1
2-12-24,T14,28,2,74.78,-Cobalamin,1
2-12-24,T14,28,3,52.33,-Cobalamin,1
2-14-24,T15,30,1,52.02,-Cobalamin,1
2-14-24,T15,30,2,41.51,-Cobalamin,1
2-14-24,T15,30,3,44.98,-Cobalamin,1
2-16-24,T16,32,1,43.64,-Cobalamin,1
2-16-24,T16,32,2,47.98,-Cobalamin,1
2-16-24,T16,32,3,42.26,-Cobalamin,1
1-15-24,T0,0,1,173.2,-Thiamine,1
1-15-24,T0,0,2,44.15,-Thiamine,1
1-15-24,T0,0,3,33.19,-Thiamine,1
1-17-24,T1,2,1,44.86,-Thiamine,1
1-17-24,T1,2,2,57.63,-Thiamine,1
1-17-24,T1,2,3,87.9,-Thiamine,1
1-19-24,T2,4,1,117.99,-Thiamine,1
1-19-24,T2,4,2,49,-Thiamine,1
1-19-24,T2,4,3,61.37,-Thiamine,1
1-21-24,T3,6,1,169.75,-Thiamine,1
1-21-24,T3,6,2,144.78,-Thiamine,1
1-21-24,T3,6,3,191.24,-Thiamine,1
1/23/24,T4,8,1,274.35,-Thiamine,1
1/23/24,T4,8,2,225.23,-Thiamine,1
1/23/24,T4,8,3,260.11,-Thiamine,1
1-25-24,T5,10,1,477.31,-Thiamine,1
1-25-24,T5,10,2,326.06,-Thiamine,1
1-25-24,T5,10,3,281.26,-Thiamine,1
1-27-24,T6,12,1,342.21,-Thiamine,1
1-27-24,T6,12,2,736.57,-Thiamine,1
1-27-24,T6,12,3,648.53,-Thiamine,1
1-29-24,T7,14,1,888.28,-Thiamine,1
1-29-24,T7,14,2,754.92,-Thiamine,1
1-29-24,T7,14,3,1044.79,-Thiamine,1
1-31-24,T8,16,1,1858.62,-Thiamine,1
1-31-24,T8,16,2,1591.66,-Thiamine,1
1-31-24,T8,16,3,1872.01,-Thiamine,1
2-2-24,T9,18,1,2690.73,-Thiamine,1
2-2-24,T9,18,2,2565.94,-Thiamine,1
2-2-24,T9,18,3,2480.1,-Thiamine,1
2-4-24,T10,20,1,4401.69,-Thiamine,1
2-4-24,T10,20,2,4387.73,-Thiamine,1
2-4-24,T10,20,3,3968.32,-Thiamine,1
2-6-24,T11,22,1,5468.39,-Thiamine,1
2-6-24,T11,22,2,4406.93,-Thiamine,1
2-6-24,T11,22,3,4914.97,-Thiamine,1
2-8-24,T12,24,1,4955.54,-Thiamine,1
2-8-24,T12,24,2,5719.32,-Thiamine,1
2-8-24,T12,24,3,4391.37,-Thiamine,1
2-10-24,T13,26,1,4849.26,-Thiamine,1
2-10-24,T13,26,2,4723.56,-Thiamine,1
2-10-24,T13,26,3,4381.71,-Thiamine,1
2-12-24,T14,28,1,3395.53,-Thiamine,1
2-12-24,T14,28,2,2692.77,-Thiamine,1
2-12-24,T14,28,3,3043.11,-Thiamine,1
2-14-24,T15,30,1,2211.24,-Thiamine,1
2-14-24,T15,30,2,2224.81,-Thiamine,1
2-14-24,T15,30,3,2410.01,-Thiamine,1
2-16-24,T16,32,1,2229.74,-Thiamine,1
2-16-24,T16,32,2,1587.18,-Thiamine,1
2-16-24,T16,32,3,1385.8,-Thiamine,1
2-8-24,T0,0,1,95.47,Replete,2
2-8-24,T0,0,2,75.69,Replete,2
2-8-24,T0,0,3,51.77,Replete,2
2-10-24,T1,2,1,111.08,Replete,2
2-10-24,T1,2,2,210.62,Replete,2
2-10-24,T1,2,3,100.81,Replete,2
2-12-24,T2,4,1,142.28,Replete,2
2-12-24,T2,4,2,110.89,Replete,2
2-12-24,T2,4,3,231.46,Replete,2
2-14-24,T3,6,1,203.56,Replete,2
2-14-24,T3,6,2,199.51,Replete,2
2-14-24,T3,6,3,114.67,Replete,2
2-16-24,T4,8,1,424.53,Replete,2
2-16-24,T4,8,2,391.27,Replete,2
2-16-24,T4,8,3,287.72,Replete,2
2-18-24,T5,10,1,476.85,Replete,2
2-18-24,T5,10,2,920.9,Replete,2
2-18-24,T5,10,3,275.16,Replete,2
2-20-24,T6,12,1,827.72,Replete,2
2-20-24,T6,12,2,884.25,Replete,2
2-20-24,T6,12,3,594.16,Replete,2
2-22-24,T7,14,1,831.09,Replete,2
2-22-24,T7,14,2,1059.82,Replete,2
2-22-24,T7,14,3,974.97,Replete,2
2-24-24,T8,16,1,1160.11,Replete,2
2-24-24,T8,16,2,1108.88,Replete,2
2-24-24,T8,16,3,1450.33,Replete,2
2-26-24,T9,18,1,1158.57,Replete,2
2-26-24,T9,18,2,1310.54,Replete,2
2-26-24,T9,18,3,1939.54,Replete,2
2-28-24,T10,20,1,1432.52,Replete,2
2-28-24,T10,20,2,1932.04,Replete,2
2-28-24,T10,20,3,4019.32,Replete,2
3-1-24,T11,22,1,2004.7,Replete,2
3-1-24,T11,22,2,2431.2,Replete,2
3-1-24,T11,22,3,5430.2,Replete,2
3-3-24,T12,24,1,1598.39,Replete,2
3-3-24,T12,24,2,2784.34,Replete,2
3-3-24,T12,24,3,3362.85,Replete,2
2-8-24,T0,0,1,98.46,-Biotin,2
2-8-24,T0,0,2,96.62,-Biotin,2
2-8-24,T0,0,3,107.23,-Biotin,2
2-10-24,T1,2,1,107.76,-Biotin,2
2-10-24,T1,2,2,78.39,-Biotin,2
2-10-24,T1,2,3,139.7,-Biotin,2
2-12-24,T2,4,1,97.09,-Biotin,2
2-12-24,T2,4,2,72.66,-Biotin,2
2-12-24,T2,4,3,168.83,-Biotin,2
2-14-24,T3,6,1,126.98,-Biotin,2
2-14-24,T3,6,2,115.78,-Biotin,2
2-14-24,T3,6,3,276.54,-Biotin,2
2-16-24,T4,8,1,28.35,-Biotin,2
2-16-24,T4,8,2,184.49,-Biotin,2
2-16-24,T4,8,3,633.6,-Biotin,2
2-18-24,T5,10,1,543.85,-Biotin,2
2-18-24,T5,10,2,490.14,-Biotin,2
2-18-24,T5,10,3,1370.58,-Biotin,2
2-20-24,T6,12,1,874.16,-Biotin,2
2-20-24,T6,12,2,498.87,-Biotin,2
2-20-24,T6,12,3,2356.63,-Biotin,2
2-22-24,T7,14,1,1685.74,-Biotin,2
2-22-24,T7,14,2,1169.49,-Biotin,2
2-22-24,T7,14,3,3491.58,-Biotin,2
2-24-24,T8,16,1,1408.14,-Biotin,2
2-24-24,T8,16,2,1074.37,-Biotin,2
2-24-24,T8,16,3,2974.67,-Biotin,2
2-26-24,T9,18,1,4343.63,-Biotin,2
2-26-24,T9,18,2,2479.24,-Biotin,2
2-26-24,T9,18,3,3414.46,-Biotin,2
2-28-24,T10,20,1,6770.67,-Biotin,2
2-28-24,T10,20,2,2935.9,-Biotin,2
2-28-24,T10,20,3,3007.25,-Biotin,2
3-1-24,T11,22,1,6146.58,-Biotin,2
3-1-24,T11,22,2,4229.78,-Biotin,2
3-1-24,T11,22,3,2859.83,-Biotin,2
3-3-24,T12,24,1,4230.46,-Biotin,2
3-3-24,T12,24,2,3626.42,-Biotin,2
3-3-24,T12,24,3,2404.16,-Biotin,2
2-8-24,T0,0,1,69.14,-Cobalamin,2
2-8-24,T0,0,2,77.52,-Cobalamin,2
2-8-24,T0,0,3,107.23,-Cobalamin,2
2-10-24,T1,2,1,170.72,-Cobalamin,2
2-10-24,T1,2,2,116.68,-Cobalamin,2
2-10-24,T1,2,3,196.97,-Cobalamin,2
2-12-24,T2,4,1,268.17,-Cobalamin,2
2-12-24,T2,4,2,118.57,-Cobalamin,2
2-12-24,T2,4,3,90.1,-Cobalamin,2
2-14-24,T3,6,1,128.1,-Cobalamin,2
2-14-24,T3,6,2,227.83,-Cobalamin,2
2-14-24,T3,6,3,350.76,-Cobalamin,2
2-16-24,T4,8,1,287.58,-Cobalamin,2
2-16-24,T4,8,2,202.72,-Cobalamin,2
2-16-24,T4,8,3,144.69,-Cobalamin,2
2-18-24,T5,10,1,215.38,-Cobalamin,2
2-18-24,T5,10,2,329.63,-Cobalamin,2
2-18-24,T5,10,3,256.28,-Cobalamin,2
2-20-24,T6,12,1,289.16,-Cobalamin,2
2-20-24,T6,12,2,215.43,-Cobalamin,2
2-20-24,T6,12,3,223.61,-Cobalamin,2
2-22-24,T7,14,1,137.78,-Cobalamin,2
2-22-24,T7,14,2,188.45,-Cobalamin,2
2-22-24,T7,14,3,227.24,-Cobalamin,2
2-24-24,T8,16,1,154.8,-Cobalamin,2
2-24-24,T8,16,2,168.08,-Cobalamin,2
2-24-24,T8,16,3,155.65,-Cobalamin,2
2-26-24,T9,18,1,110.86,-Cobalamin,2
2-26-24,T9,18,2,141.79,-Cobalamin,2
2-26-24,T9,18,3,101.45,-Cobalamin,2
2-28-24,T10,20,1,159.93,-Cobalamin,2
2-28-24,T10,20,2,143.93,-Cobalamin,2
2-28-24,T10,20,3,156.53,-Cobalamin,2
3-1-24,T11,22,1,93.4,-Cobalamin,2
3-1-24,T11,22,2,127.55,-Cobalamin,2
3-1-24,T11,22,3,175.89,-Cobalamin,2
3-3-24,T12,24,1,80.21,-Cobalamin,2
3-3-24,T12,24,2,86.01,-Cobalamin,2
3-3-24,T12,24,3,85.4,-Cobalamin,2
2-8-24,T0,0,1,156.08,-Thiamine,2
2-8-24,T0,0,2,131.83,-Thiamine,2
2-8-24,T0,0,3,140.09,-Thiamine,2
2-10-24,T1,2,1,226.46,-Thiamine,2
2-10-24,T1,2,2,174.03,-Thiamine,2
2-10-24,T1,2,3,155.71,-Thiamine,2
2-12-24,T2,4,1,166.91,-Thiamine,2
2-12-24,T2,4,2,298.27,-Thiamine,2
2-12-24,T2,4,3,229.97,-Thiamine,2
2-14-24,T3,6,1,387.2,-Thiamine,2
2-14-24,T3,6,2,522.08,-Thiamine,2
2-14-24,T3,6,3,410.59,-Thiamine,2
2-16-24,T4,8,1,549.73,-Thiamine,2
2-16-24,T4,8,2,508.57,-Thiamine,2
2-16-24,T4,8,3,475.39,-Thiamine,2
2-18-24,T5,10,1,1469.74,-Thiamine,2
2-18-24,T5,10,2,1456.21,-Thiamine,2
2-18-24,T5,10,3,995.64,-Thiamine,2
2-20-24,T6,12,1,3263.95,-Thiamine,2
2-20-24,T6,12,2,1931.65,-Thiamine,2
2-20-24,T6,12,3,2026.22,-Thiamine,2
2-22-24,T7,14,1,3588.97,-Thiamine,2
2-22-24,T7,14,2,2787.06,-Thiamine,2
2-22-24,T7,14,3,3978.04,-Thiamine,2
2-24-24,T8,16,1,4328.29,-Thiamine,2
2-24-24,T8,16,2,4059.27,-Thiamine,2
2-24-24,T8,16,3,7234.75,-Thiamine,2
2-26-24,T9,18,1,5769.41,-Thiamine,2
2-26-24,T9,18,2,5587.16,-Thiamine,2
2-26-24,T9,18,3,5199.62,-Thiamine,2
2-28-24,T10,20,1,5339.65,-Thiamine,2
2-28-24,T10,20,2,4559.69,-Thiamine,2
2-28-24,T10,20,3,5595.72,-Thiamine,2
3-1-24,T11,22,1,3988.12,-Thiamine,2
3-1-24,T11,22,2,5089.69,-Thiamine,2
3-1-24,T11,22,3,3428.24,-Thiamine,2
3-3-24,T12,24,1,3276.84,-Thiamine,2
3-3-24,T12,24,2,3318.87,-Thiamine,2
3-3-24,T12,24,3,2730.48,-Thiamine,2
3-3-24,T0,0,1,46.52,Replete,3
3-3-24,T0,0,2,77.27,Replete,3
3-3-24,T0,0,3,61.72,Replete,3
3-5-24,T1,2,1,52.86,Replete,3
3-5-24,T1,2,2,48.23,Replete,3
3-5-24,T1,2,3,97.55,Replete,3
3-7-34,T2,4,1,63.74,Replete,3
3-7-34,T2,4,2,60.48,Replete,3
3-7-34,T2,4,3,138.62,Replete,3
3-9-24,T3,6,1,50.16,Replete,3
3-9-24,T3,6,2,49.55,Replete,3
3-9-24,T3,6,3,71.96,Replete,3
3-11-23,T4,8,1,107.3,Replete,3
3-11-23,T4,8,2,144.22,Replete,3
3-11-23,T4,8,3,61.43,Replete,3
3-13-24,T5,10,1,92.87,Replete,3
3-13-24,T5,10,2,140.68,Replete,3
3-13-24,T5,10,3,145.61,Replete,3
3-15-24,T6,12,1,233.08,Replete,3
3-15-24,T6,12,2,119.48,Replete,3
3-15-24,T6,12,3,228.99,Replete,3
3-17-24,T7,14,1,394.04,Replete,3
3-17-24,T7,14,2,183.26,Replete,3
3-17-24,T7,14,3,887.26,Replete,3
3-19-24,T8,16,1,543.35,Replete,3
3-19-24,T8,16,2,315.34,Replete,3
3-19-24,T8,16,3,1085.72,Replete,3
3-21-24,T9,18,1,1482.85,Replete,3
3-21-24,T9,18,2,692.65,Replete,3
3-21-24,T9,18,3,1613.06,Replete,3
3-23-24,T10,20,1,1284.26,Replete,3
3-23-24,T10,20,2,841.02,Replete,3
3-23-24,T10,20,3,1642.78,Replete,3
3-25-24,T11,22,1,1961.43,Replete,3
3-25-24,T11,22,2,1527.68,Replete,3
3-25-24,T11,22,3,2989.39,Replete,3
3-27-24,T12,24,1,2661.72,Replete,3
3-27-24,T12,24,2,2530.87,Replete,3
3-27-24,T12,24,3,4860.57,Replete,3
3-29-24,T13,26,1,1984.08,Replete,3
3-29-24,T13,26,2,1949.36,Replete,3
3-29-24,T13,26,3,3615.93,Replete,3
3-31-24,T14,28,1,1842.81,Replete,3
3-31-24,T14,28,2,1836.11,Replete,3
3-31-24,T14,28,3,2779.03,Replete,3
4-2-24,T15,30,1,1519.75,Replete,3
4-2-24,T15,30,2,2012.73,Replete,3
4-2-24,T15,30,3,2431.55,Replete,3
4-4-24,T16,32,1,2073.72,Replete,3
4-4-24,T16,32,2,2185.47,Replete,3
4-4-24,T16,32,3,2044.33,Replete,3
3-3-24,T0,0,1,98.82,-Biotin,3
3-3-24,T0,0,2,63.4,-Biotin,3
3-3-24,T0,0,3,82.43,-Biotin,3
3-5-24,T1,2,1,70.72,-Biotin,3
3-5-24,T1,2,2,83.72,-Biotin,3
3-5-24,T1,2,3,63.34,-Biotin,3
3-7-34,T2,4,1,70.81,-Biotin,3
3-7-34,T2,4,2,64.98,-Biotin,3
3-7-34,T2,4,3,51.75,-Biotin,3
3-9-24,T3,6,1,62.71,-Biotin,3
3-9-24,T3,6,2,123.34,-Biotin,3
3-9-24,T3,6,3,49.15,-Biotin,3
3-11-23,T4,8,1,307.59,-Biotin,3
3-11-23,T4,8,2,149.43,-Biotin,3
3-11-23,T4,8,3,54.05,-Biotin,3
3-13-24,T5,10,1,168.71,-Biotin,3
3-13-24,T5,10,2,270.68,-Biotin,3
3-13-24,T5,10,3,50.78,-Biotin,3
3-15-24,T6,12,1,235.12,-Biotin,3
3-15-24,T6,12,2,370.63,-Biotin,3
3-15-24,T6,12,3,60.59,-Biotin,3
3-17-24,T7,14,1,554.39,-Biotin,3
3-17-24,T7,14,2,840.55,-Biotin,3
3-17-24,T7,14,3,56.06,-Biotin,3
3-19-24,T8,16,1,1003.39,-Biotin,3
3-19-24,T8,16,2,1768.16,-Biotin,3
3-19-24,T8,16,3,52.1,-Biotin,3
3-21-24,T9,18,1,1535.18,-Biotin,3
3-21-24,T9,18,2,2479.72,-Biotin,3
3-21-24,T9,18,3,50.75,-Biotin,3
3-23-24,T10,20,1,1585.68,-Biotin,3
3-23-24,T10,20,2,1710.27,-Biotin,3
3-23-24,T10,20,3,57.85,-Biotin,3
3-25-24,T11,22,1,2949.51,-Biotin,3
3-25-24,T11,22,2,2796.73,-Biotin,3
3-25-24,T11,22,3,230.94,-Biotin,3
3-27-24,T12,24,1,3297.16,-Biotin,3
3-27-24,T12,24,2,2996.81,-Biotin,3
3-27-24,T12,24,3,250.38,-Biotin,3
3-29-24,T13,26,1,4287.78,-Biotin,3
3-29-24,T13,26,2,3236.65,-Biotin,3
3-29-24,T13,26,3,33.09,-Biotin,3
3-31-24,T14,28,1,2871.08,-Biotin,3
3-31-24,T14,28,2,2139.97,-Biotin,3
3-31-24,T14,28,3,401.07,-Biotin,3
4-2-24,T15,30,1,3260.76,-Biotin,3
4-2-24,T15,30,2,1849.12,-Biotin,3
4-2-24,T15,30,3,857.42,-Biotin,3
4-4-24,T16,32,1,2522.61,-Biotin,3
4-4-24,T16,32,2,2020.09,-Biotin,3
4-4-24,T16,32,3,1766.52,-Biotin,3
3-3-24,T0,0,1,51,-Cobalamin,3
3-3-24,T0,0,2,81.14,-Cobalamin,3
3-3-24,T0,0,3,115.12,-Cobalamin,3
3-5-24,T1,2,1,135.57,-Cobalamin,3
3-5-24,T1,2,2,51.59,-Cobalamin,3
3-5-24,T1,2,3,98.75,-Cobalamin,3
3-7-34,T2,4,1,70.06,-Cobalamin,3
3-7-34,T2,4,2,46.85,-Cobalamin,3
3-7-34,T2,4,3,71.84,-Cobalamin,3
3-9-24,T3,6,1,96.84,-Cobalamin,3
3-9-24,T3,6,2,54.99,-Cobalamin,3
3-9-24,T3,6,3,140.41,-Cobalamin,3
3-11-23,T4,8,1,41.44,-Cobalamin,3
3-11-23,T4,8,2,35.45,-Cobalamin,3
3-11-23,T4,8,3,194.48,-Cobalamin,3
3-13-24,T5,10,1,129.25,-Cobalamin,3
3-13-24,T5,10,2,51.85,-Cobalamin,3
3-13-24,T5,10,3,199.5,-Cobalamin,3
3-15-24,T6,12,1,107.33,-Cobalamin,3
3-15-24,T6,12,2,45.03,-Cobalamin,3
3-15-24,T6,12,3,304.29,-Cobalamin,3
3-17-24,T7,14,1,121.99,-Cobalamin,3
3-17-24,T7,14,2,108.63,-Cobalamin,3
3-17-24,T7,14,3,140.28,-Cobalamin,3
3-19-24,T8,16,1,56.18,-Cobalamin,3
3-19-24,T8,16,2,45.54,-Cobalamin,3
3-19-24,T8,16,3,198.87,-Cobalamin,3
3-21-24,T9,18,1,105.32,-Cobalamin,3
3-21-24,T9,18,2,47.8,-Cobalamin,3
3-21-24,T9,18,3,122.25,-Cobalamin,3
3-23-24,T10,20,1,78.95,-Cobalamin,3
3-23-24,T10,20,2,44.95,-Cobalamin,3
3-23-24,T10,20,3,136.81,-Cobalamin,3
3-25-24,T11,22,1,61.45,-Cobalamin,3
3-25-24,T11,22,2,49.27,-Cobalamin,3
3-25-24,T11,22,3,130.11,-Cobalamin,3
3-27-24,T12,24,1,70.21,-Cobalamin,3
3-27-24,T12,24,2,90.87,-Cobalamin,3
3-27-24,T12,24,3,131.73,-Cobalamin,3
3-29-24,T13,26,1,77.94,-Cobalamin,3
3-29-24,T13,26,2,68.78,-Cobalamin,3
3-29-24,T13,26,3,135.16,-Cobalamin,3
3-31-24,T14,28,1,82.08,-Cobalamin,3
3-31-24,T14,28,2,75.46,-Cobalamin,3
3-31-24,T14,28,3,90.28,-Cobalamin,3
4-2-24,T15,30,1,79.63,-Cobalamin,3
4-2-24,T15,30,2,71.17,-Cobalamin,3
4-2-24,T15,30,3,73.38,-Cobalamin,3
4-4-24,T16,32,1,74.24,-Cobalamin,3
4-4-24,T16,32,2,69.94,-Cobalamin,3
4-4-24,T16,32,3,72.82,-Cobalamin,3
3-3-24,T0,0,1,49.92,-Thiamine,3
3-3-24,T0,0,2,72.28,-Thiamine,3
3-3-24,T0,0,3,57,-Thiamine,3
3-5-24,T1,2,1,59.79,-Thiamine,3
3-5-24,T1,2,2,62.68,-Thiamine,3
3-5-24,T1,2,3,48.91,-Thiamine,3
3-7-34,T2,4,1,49.16,-Thiamine,3
3-7-34,T2,4,2,47.3,-Thiamine,3
3-7-34,T2,4,3,162.06,-Thiamine,3
3-9-24,T3,6,1,46.31,-Thiamine,3
3-9-24,T3,6,2,76.03,-Thiamine,3
3-9-24,T3,6,3,50.8,-Thiamine,3
3-11-23,T4,8,1,75.3,-Thiamine,3
3-11-23,T4,8,2,74.86,-Thiamine,3
3-11-23,T4,8,3,55.52,-Thiamine,3
3-13-24,T5,10,1,74.28,-Thiamine,3
3-13-24,T5,10,2,146.61,-Thiamine,3
3-13-24,T5,10,3,127.21,-Thiamine,3
3-15-24,T6,12,1,205.43,-Thiamine,3
3-15-24,T6,12,2,157.68,-Thiamine,3
3-15-24,T6,12,3,126.85,-Thiamine,3
3-17-24,T7,14,1,146.42,-Thiamine,3
3-17-24,T7,14,2,479.39,-Thiamine,3
3-17-24,T7,14,3,380.89,-Thiamine,3
3-19-24,T8,16,1,268.37,-Thiamine,3
3-19-24,T8,16,2,971.76,-Thiamine,3
3-19-24,T8,16,3,263.12,-Thiamine,3
3-21-24,T9,18,1,533.61,-Thiamine,3
3-21-24,T9,18,2,2442.1,-Thiamine,3
3-21-24,T9,18,3,668.58,-Thiamine,3
3-23-24,T10,20,1,891.9,-Thiamine,3
3-23-24,T10,20,2,3267.87,-Thiamine,3
