Date,Time,Bio_Rep,Chlorophyll-A (RFU),Treatment,Round
11-25-24,T6,2,1777.85,369pM,1
11-25-24,T6,3,1722.18,369pM,1
11-25-24,T6,1,1581.77,36pM,1
11-25-24,T6,2,1653.59,36pM,1
11-25-24,T6,3,2093.73,36pM,1
11-25-24,T6,1,1598.51,3.69pM,1
11-25-24,T6,2,2967.41,3.69pM,1
11-25-24,T6,3,1449.8,3.69pM,1
11-25-24,T6,1,1905.73,0.369pM,1
11-25-24,T6,2,1539.23,0.369pM,1
11-25-24,T6,3,1866.12,0.369pM,1
11-25-24,T6,1,456.5,0.0369pM,1
11-25-24,T6,2,44.12,0.0369pM,1
11-25-24,T6,3,928.18,0.0369pM,1
11-27-24,T7,1,3797.74,369pM,1
11-27-24,T7,2,3531.66,369pM,1
11-27-24,T7,3,3543.91,369pM,1
11-27-24,T7,1,3422.99,36pM,1
11-27-24,T7,2,55.86,36pM,1
11-27-24,T7,3,3091.69,36pM,1
11-27-24,T7,1,1923.39,3.69pM,1
11-27-24,T7,2,3928.63,3.69pM,1
11-27-24,T7,3,2145.99,3.69pM,1
11-27-24,T7,1,1967.76,0.369pM,1
11-27-24,T7,2,1552.69,0.369pM,1
11-27-24,T7,3,1264.88,0.369pM,1
11-27-24,T7,1,683.31,0.0369pM,1
11-27-24,T7,2,541.01,0.0369pM,1
11-27-24,T7,3,750.44,0.0369pM,1
11-29-24,T8,1,2284.37,369pM,1
11-29-24,T8,2,2518.35,369pM,1
11-29-24,T8,3,1926.22,369pM,1
11-29-24,T8,1,3043.27,36pM,1
11-29-24,T8,2,2987.52,36pM,1
11-29-24,T8,3,3601.71,36pM,1
11-29-24,T8,1,1745.42,3.69pM,1
11-29-24,T8,2,2013.95,3.69pM,1
11-29-24,T8,3,1997.56,3.69pM,1
11-29-24,T8,1,1200.29,0.369pM,1
11-29-24,T8,2,1774.99,0.369pM,1
11-29-24,T8,3,1473.63,0.369pM,1
11-29-24,T8,1,398.25,0.0369pM,1
11-29-24,T8,2,384.04,0.0369pM,1
11-29-24,T8,3,398.5,0.0369pM,1
12-1-24,T9,1,2070.74,369pM,1
12-1-24,T9,2,2142.41,369pM,1
12-1-24,T9,3,2115.76,369pM,1
12-1-24,T9,1,2950.38,36pM,1
12-1-24,T9,2,2723.67,36pM,1
12-1-24,T9,3,3343.83,36pM,1
12-1-24,T9,1,859.84,3.69pM,1
12-1-24,T9,2,1674.56,3.69pM,1
12-1-24,T9,3,1016.3,3.69pM,1
12-1-24,T9,1,814.73,0.369pM,1
12-1-24,T9,2,744.19,0.369pM,1
12-1-24,T9,3,1024.11,0.369pM,1
12-1-24,T9,1,259.03,0.0369pM,1
12-1-24,T9,2,263.49,0.0369pM,1
12-1-24,T9,3,319.2,0.0369pM,1
12-3-24,T10,1,2787.35,369pM,1
12-3-24,T10,2,3385.71,369pM,1
12-3-24,T10,3,3898.32,369pM,1
12-3-24,T10,1,3886.99,36pM,1
12-3-24,T10,2,3682.68,36pM,1
12-3-24,T10,3,3610.47,36pM,1
12-3-24,T10,1,1115.33,3.69pM,1
12-3-24,T10,2,1641.5,3.69pM,1
12-3-24,T10,3,1335.5,3.69pM,1
12-3-24,T10,1,1005.73,0.369pM,1
12-3-24,T10,2,1015.93,0.369pM,1
12-3-24,T10,3,1172.1,0.369pM,1
12-3-24,T10,1,208.17,0.0369pM,1
12-3-24,T10,2,274.62,0.0369pM,1
12-3-24,T10,3,220.4,0.0369pM,1
12-5-24,T11,1,4898.06,369pM,1
12-5-24,T11,2,4030.33,369pM,1
12-5-24,T11,3,5166,369pM,1
12-5-24,T11,1,5580.47,36pM,1
12-5-24,T11,2,6041.05,36pM,1
12-5-24,T11,3,4800.94,36pM,1
12-5-24,T11,1,1361.48,3.69pM,1
12-5-24,T11,2,1530.98,3.69pM,1
12-5-24,T11,3,1199.9,3.69pM,1
12-5-24,T11,1,1363.89,0.369pM,1
12-5-24,T11,2,1244.1,0.369pM,1
12-5-24,T11,3,1249.3,0.369pM,1
12-5-24,T11,1,257.31,0.0369pM,1
12-5-24,T11,2,312.32,0.0369pM,1
12-5-24,T11,3,334.94,0.0369pM,1
12-7-24,T12,1,5286.84,369pM,1
12-7-24,T12,2,4424.36,369pM,1
12-7-24,T12,3,5538.85,369pM,1
12-7-24,T12,1,5023.96,36pM,1
12-7-24,T12,2,5370.05,36pM,1
12-7-24,T12,3,4644.26,36pM,1
12-7-24,T12,1,1364.8,3.69pM,1
12-7-24,T12,2,1038.29,3.69pM,1
12-7-24,T12,3,1363.27,3.69pM,1
12-7-24,T12,1,1153.91,0.369pM,1
12-7-24,T12,2,929.1,0.369pM,1
12-7-24,T12,3,1014.19,0.369pM,1
12-7-24,T12,1,308.75,0.0369pM,1
12-7-24,T12,2,198.48,0.0369pM,1
12-7-24,T12,3,173.77,0.0369pM,1
12-9-24,T13,1,2746.13,369pM,1
12-9-24,T13,2,4009.2,369pM,1
12-9-24,T13,3,4726.12,369pM,1
12-9-24,T13,1,3802.71,36pM,1
12-9-24,T13,2,4875.77,36pM,1
12-9-24,T13,3,4522.64,36pM,1
12-9-24,T13,1,929.82,3.69pM,1
12-9-24,T13,2,858.11,3.69pM,1
12-9-24,T13,3,1134.34,3.69pM,1
12-9-24,T13,1,646.17,0.369pM,1
12-9-24,T13,2,598.83,0.369pM,1
12-9-24,T13,3,832.63,0.369pM,1
12-9-24,T13,1,185.79,0.0369pM,1
12-9-24,T13,2,242.19,0.0369pM,1
12-9-24,T13,3,165.7,0.0369pM,1
12-11-24,T14,1,4006.68,369pM,1
12-11-24,T14,2,3731.59,369pM,1
12-11-24,T14,3,3864.89,369pM,1
12-11-24,T14,1,4824.57,36pM,1
12-11-24,T14,2,4042.74,36pM,1
12-11-24,T14,3,4533.38,36pM,1
12-11-24,T14,1,757.13,3.69pM,1
12-11-24,T14,2,565.23,3.69pM,1
12-11-24,T14,3,755.8,3.69pM,1
12-11-24,T14,1,527.57,0.369pM,1
12-11-24,T14,2,551.34,0.369pM,1
12-11-24,T14,3,494.8,0.369pM,1
12-11-24,T14,1,181.42,0.0369pM,1
12-11-24,T14,2,196.47,0.0369pM,1
12-11-24,T14,3,200.4,0.0369pM,1
12-13-24,T15,1,3219.07,369pM,1
12-13-24,T15,2,4355.13,369pM,1
12-13-24,T15,3,3858.32,369pM,1
12-13-24,T15,1,3992.99,36pM,1
12-13-24,T15,2,5208.23,36pM,1
12-13-24,T15,3,4534.63,36pM,1
12-13-24,T15,1,510.95,3.69pM,1
12-13-24,T15,2,268.68,3.69pM,1
12-13-24,T15,3,509.29,3.69pM,1
12-13-24,T15,1,291.18,0.369pM,1
12-13-24,T15,2,357.64,0.369pM,1
12-13-24,T15,3,352.57,0.369pM,1
12-13-24,T15,1,131.29,0.0369pM,1
12-13-24,T15,2,181.95,0.0369pM,1
12-13-24,T15,3,129.08,0.0369pM,1
12-15-25,T16,1,1936.33,369pM,1
12-15-25,T16,2,3044.49,369pM,1
12-15-25,T16,3,2115.81,369pM,1
12-15-25,T16,1,3587.79,36pM,1
12-15-25,T16,2,4084.13,36pM,1
12-15-25,T16,3,3644.66,36pM,1
12-15-25,T16,1,268.29,3.69pM,1
12-15-25,T16,2,191.78,3.69pM,1
12-15-25,T16,3,240.54,3.69pM,1
12-15-25,T16,1,174.36,0.369pM,1
12-15-25,T16,2,173.22,0.369pM,1
12-15-25,T16,3,194.74,0.369pM,1
12-15-25,T16,1,83.85,0.0369pM,1
12-15-25,T16,2,109.99,0.0369pM,1
12-15-25,T16,3,97.13,0.0369pM,1
12-17-24,T17,1,1996.81,369pM,1
12-17-24,T17,2,2621.03,369pM,1
12-17-24,T17,3,2310.38,369pM,1
12-17-24,T17,1,3094.59,36pM,1
12-17-24,T17,2,4120.6,36pM,1
12-17-24,T17,3,3439.18,36pM,1
12-17-24,T17,1,190.55,3.69pM,1
12-17-24,T17,2,99.29,3.69pM,1
12-17-24,T17,3,146.05,3.69pM,1
12-17-24,T17,1,131.63,0.369pM,1
12-17-24,T17,2,130.36,0.369pM,1
12-17-24,T17,3,192.01,0.369pM,1
12-17-24,T17,1,85.85,0.0369pM,1
12-17-24,T17,2,91.71,0.0369pM,1
12-17-24,T17,3,76.08,0.0369pM,1
12-19-24,T18,1,1474.96,369pM,1
12-19-24,T18,2,1993.64,369pM,1
12-19-24,T18,3,1985.96,369pM,1
12-19-24,T18,1,2568.51,36pM,1
12-19-24,T18,2,3188.35,36pM,1
12-19-24,T18,3,3501.15,36pM,1
12-19-24,T18,1,146.91,3.69pM,1
12-19-24,T18,2,78.83,3.69pM,1
12-19-24,T18,3,99.06,3.69pM,1
12-19-24,T18,1,66.7,0.369pM,1
12-19-24,T18,2,90.09,0.369pM,1
12-19-24,T18,3,112.06,0.369pM,1
12-19-24,T18,1,72.21,0.0369pM,1
12-19-24,T18,2,80.31,0.0369pM,1
12-19-24,T18,3,74.43,0.0369pM,1
12-21-24,T19,1,1960.19,369pM,1
12-21-24,T19,2,2118.73,369pM,1
12-21-24,T19,3,1422.46,369pM,1
12-21-24,T19,1,2259.42,36pM,1
12-21-24,T19,2,2597.46,36pM,1
12-21-24,T19,3,3115.96,36pM,1
12-21-24,T19,1,69.85,3.69pM,1
12-21-24,T19,2,82.21,3.69pM,1
12-21-24,T19,3,78.86,3.69pM,1
12-21-24,T19,1,80.52,0.369pM,1
12-21-24,T19,2,64.02,0.369pM,1
12-21-24,T19,3,77.18,0.369pM,1
12-21-24,T19,1,89.71,0.0369pM,1
12-21-24,T19,2,84.87,0.0369pM,1
12-21-24,T19,3,84.74,0.0369pM,1
12-23-24,T20,1,1133.9,369pM,1
12-23-24,T20,2,1344.82,369pM,1
12-23-24,T20,3,1828.26,369pM,1
12-23-24,T20,1,1422.71,36pM,1
12-23-24,T20,2,2307.29,36pM,1
12-23-24,T20,3,2409.07,36pM,1
12-23-24,T20,1,87.74,3.69pM,1
12-23-24,T20,2,60.93,3.69pM,1
12-23-24,T20,3,70.04,3.69pM,1
12-23-24,T20,1,74.88,0.369pM,1
12-23-24,T20,2,78.15,0.369pM,1
12-23-24,T20,3,66.19,0.369pM,1
12-23-24,T20,1,72.65,0.0369pM,1
12-23-24,T20,2,68.89,0.0369pM,1
12-23-24,T20,3,54.89,0.0369pM,1
